97.779356, 14/2017, 16:10:50.772
100.012685, 14/2017, 16:10:50.802
100.731247, 14/2017, 16:10:50.832
100.968385, 14/2017, 16:10:50.862
101.294172, 14/2017, 16:10:50.892
102.380077, 14/2017, 16:10:50.923
103.394778, 14/2017, 16:10:50.954
103.394778, 14/2017, 16:10:50.984
103.094194, 14/2017, 16:10:51.014
103.023424, 14/2017, 16:10:51.044
103.023424, 14/2017, 16:10:51.075
102.057267, 14/2017, 16:10:51.105
102.057267, 14/2017, 16:10:51.135
101.751367, 14/2017, 16:10:51.166
103.475797, 14/2017, 16:10:51.196
102.405141, 14/2017, 16:10:51.226
101.615515, 14/2017, 16:10:51.257
99.883296, 14/2017, 16:10:51.286
101.143840, 14/2017, 16:10:51.317
100.452402, 14/2017, 16:10:51.346
101.951990, 14/2017, 16:10:51.376
101.056378, 14/2017, 16:10:51.406
100.217312, 14/2017, 16:10:51.436
100.217312, 14/2017, 16:10:51.466
98.877252, 14/2017, 16:10:51.496
99.251253, 14/2017, 16:10:51.526
99.138046, 14/2017, 16:10:51.557
100.507672, 14/2017, 16:10:51.588
102.405311, 14/2017, 16:10:51.618
101.794952, 14/2017, 16:10:51.649
101.338098, 14/2017, 16:10:51.680
101.750961, 14/2017, 16:10:51.711
100.457740, 14/2017, 16:10:51.741
101.244580, 14/2017, 16:10:51.771
102.885287, 14/2017, 16:10:51.802
102.885287, 14/2017, 16:10:51.831
103.069826, 14/2017, 16:10:51.861
102.612213, 14/2017, 16:10:51.891
102.747572, 14/2017, 16:10:51.922
100.915833, 14/2017, 16:10:51.952
103.059226, 14/2017, 16:10:51.981
101.713818, 14/2017, 16:10:52.011
