97.021621, 14/2017, H:09:03.070
94.519264, 14/2017, H:09:03.099
94.519264, 14/2017, H:09:03.129
93.557700, 14/2017, H:09:03.160
93.990771, 14/2017, H:09:03.189
94.550212, 14/2017, H:09:03.219
95.460039, 14/2017, H:09:03.249
96.001762, 14/2017, H:09:03.280
98.812384, 14/2017, H:09:03.309
99.398268, 14/2017, H:09:03.339
99.363615, 14/2017, H:09:03.369
101.082816, 14/2017, H:09:03.399
101.082816, 14/2017, H:09:03.430
102.453855, 14/2017, H:09:03.459
101.989931, 14/2017, H:09:03.489
100.763968, 14/2017, H:09:03.519
102.146298, 14/2017, H:09:03.550
101.129293, 14/2017, H:09:03.581
101.532016, 14/2017, H:09:03.611
101.199752, 14/2017, H:09:03.640
101.839890, 14/2017, H:09:03.671
102.611959, 14/2017, H:09:03.702
101.965427, 14/2017, H:09:03.731
101.965427, 14/2017, H:09:03.762
101.259036, 14/2017, H:09:03.792
101.259036, 14/2017, H:09:03.822
98.945776, 14/2017, H:09:03.853
99.352022, 14/2017, H:09:03.884
97.023316, 14/2017, H:09:03.914
96.510197, 14/2017, H:09:03.945
96.510197, 14/2017, H:09:03.975
97.594515, 14/2017, H:09:04.005
95.704081, 14/2017, H:09:04.036
95.704081, 14/2017, H:09:04.066
96.696419, 14/2017, H:09:04.095
97.149814, 14/2017, H:09:04.126
97.105930, 14/2017, H:09:04.155
97.362164, 14/2017, H:09:04.185
97.744016, 14/2017, H:09:04.215
97.067090, 14/2017, H:09:04.245
97.081709, 14/2017, H:09:04.276
95.168682, 14/2017, H:09:04.305
96.451091, 14/2017, H:09:04.335
98.310711, 14/2017, H:09:04.366
100.115763, 14/2017, H:09:04.397
100.629391, 14/2017, H:09:04.427
99.409401, 14/2017, H:09:04.458
98.203013, 14/2017, H:09:04.489
98.881794, 14/2017, H:09:04.518
98.881794, 14/2017, H:09:04.548
98.083852, 14/2017, H:09:04.579
